timestamp,llm_provider,llm_model,code_sample,existence_correct,cwe_tp,cwe_fp,cwe_fn,func_tp,func_fp,func_fn,line_tp,line_fp,line_fn
2025-05-27T21:02:04.518037+00:00,openai,gpt-4o,vuln-0012/vuln-file,False,0,0,2,0,0,2,0,0,2
2025-05-27T21:02:09.550492+00:00,openai,gpt-4o,vuln-0012/vuln-function,False,0,0,2,0,0,2,0,0,2
2025-05-27T21:02:53.513375+00:00,openai,gpt-4o,vuln-0012/fixed-file,True,0,0,0,0,0,0,0,0,0
2025-05-27T21:02:58.495181+00:00,openai,gpt-4o,vuln-0012/fixed-function,True,0,0,0,0,0,0,0,0,0
2025-05-27T21:06:02.108920+00:00,openai,gpt-4o,vuln-0017/vuln-function,True,0,1,1,1,0,0,1,0,1
2025-05-27T21:06:15.522237+00:00,openai,gpt-4o,vuln-0020/vuln-function,True,0,2,1,1,3,0,1,3,1
2025-05-27T21:06:32.729037+00:00,openai,gpt-4o,vuln-0020/fixed-function,False,0,2,0,0,3,0,0,3,0
2025-05-27T21:06:41.948817+00:00,openai,gpt-4o,vuln-0024/vuln-crate,True,0,2,1,1,5,0,1,6,0
2025-05-27T21:06:44.505077+00:00,openai,gpt-4o,vuln-0024/vuln-function,True,1,1,0,1,0,0,1,0,0
2025-05-27T21:06:51.870005+00:00,openai,gpt-4o,vuln-0024/fixed-crate,False,0,3,0,0,6,0,0,7,0
2025-05-27T21:06:54.328579+00:00,openai,gpt-4o,vuln-0024/fixed-function,True,0,0,0,0,0,0,0,0,0
2025-05-27T21:07:20.874343+00:00,openai,gpt-4o,vuln-0026/vuln-file,True,1,1,0,0,4,1,0,4,2
2025-05-27T21:08:35.423604+00:00,openai,gpt-4o,vuln-0026/fixed-function,False,0,2,0,0,4,0,0,4,0
2025-05-27T21:11:29.178164+00:00,openai,gpt-4o,vuln-0028/vuln-crate,True,0,1,1,0,2,1,0,2,2
2025-05-27T21:11:48.118971+00:00,openai,gpt-4o,vuln-0028/vuln-function,True,0,1,1,1,1,0,0,2,2
2025-05-27T21:13:00.414034+00:00,openai,gpt-4o,vuln-0028/fixed-function,True,0,0,0,0,0,0,0,0,0
