example_id,vuln_id,granularity,crate_name,is_vulnerable_gt,is_vulnerable_pred,is_valid_json,binary_accuracy,cwe_tp,cwe_fp,cwe_fn,function_tp,function_fp,function_fn,line_tp,line_fp,line_fn,success_at_1_function,success_at_1_line,model
vuln-0003/sample-00003-function,vuln-0003,function,safe-transmute,True,True,True,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0003/sample-10003-crate,vuln-0003,crate,safe-transmute,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0003/sample-10003-file,vuln-0003,file,safe-transmute,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0003/sample-10003-function,vuln-0003,function,safe-transmute,False,True,True,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0004/sample-00004-crate,vuln-0004,crate,ordnung,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0004/sample-00004-file,vuln-0004,file,ordnung,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0004/sample-00004-function,vuln-0004,function,ordnung,True,True,True,1.0,0.0,7.0,1.0,0.0,4.0,2.0,0.0,4.0,2.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0005/sample-00005-function,vuln-0005,function,image,True,False,True,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0005/sample-00005-file,vuln-0005,file,image,True,False,True,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0005/sample-10005-function,vuln-0005,function,image,False,True,True,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0005/sample-10005-file,vuln-0005,file,image,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0006/sample-00006-crate,vuln-0006,crate,smallvec,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0006/sample-00006-file,vuln-0006,file,smallvec,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0006/sample-00006-function,vuln-0006,function,smallvec,True,True,True,1.0,0.0,12.0,1.0,1.0,3.0,0.0,2.0,104.0,0.0,1.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0006/sample-10006-crate,vuln-0006,crate,smallvec,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0006/sample-10006-file,vuln-0006,file,smallvec,False,True,True,0.0,0.0,7.0,0.0,0.0,13.0,0.0,0.0,12.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0006/sample-10006-function,vuln-0006,function,smallvec,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0007/sample-00007-crate,vuln-0007,crate,ordnung,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0007/sample-00007-file,vuln-0007,file,ordnung,True,True,True,1.0,1.0,7.0,0.0,0.0,5.0,17.0,0.0,5.0,18.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0007/sample-00007-function,vuln-0007,function,ordnung,True,True,True,1.0,1.0,3.0,0.0,1.0,2.0,16.0,2.0,1.0,16.0,1.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0008/sample-00008-crate,vuln-0008,crate,magnetic,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0008/sample-00008-function,vuln-0008,function,magnetic,True,True,True,1.0,0.0,2.0,1.0,0.0,7.0,13.0,0.0,7.0,13.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0008/sample-10008-function,vuln-0008,function,magnetic,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0008/sample-10008-crate,vuln-0008,crate,magnetic,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0009/sample-00009-crate,vuln-0009,crate,alg_ds,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0009/sample-00009-file,vuln-0009,file,alg_ds,True,True,True,1.0,0.0,5.0,1.0,0.0,6.0,2.0,0.0,6.0,2.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0009/sample-00009-function,vuln-0009,function,alg_ds,True,True,True,1.0,0.0,5.0,1.0,0.0,2.0,2.0,1.0,4.0,1.0,0.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0010/sample-00010-file,vuln-0010,file,im,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0010/sample-00010-function,vuln-0010,function,im,True,False,True,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0010/sample-10010-file,vuln-0010,file,im,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0010/sample-10010-function,vuln-0010,function,im,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0011/sample-00011-crate,vuln-0011,crate,array-init-cursor,True,True,True,1.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0011/sample-00011-function,vuln-0011,function,array-init-cursor,True,True,True,1.0,0.0,4.0,1.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0011/sample-10011-crate,vuln-0011,crate,array-init-cursor,False,True,True,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0011/sample-10011-function,vuln-0011,function,array-init-cursor,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0012/sample-00012-crate,vuln-0012,crate,hashconsing,True,False,True,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0012/sample-00012-file,vuln-0012,file,hashconsing,True,True,True,1.0,0.0,4.0,2.0,0.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0012/sample-00012-function,vuln-0012,function,hashconsing,True,True,True,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0012/sample-10012-crate,vuln-0012,crate,hashconsing,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0012/sample-10012-file,vuln-0012,file,hashconsing,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0012/sample-10012-function,vuln-0012,function,hashconsing,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0013/sample-00013-file,vuln-0013,file,bitvec,True,True,True,1.0,0.0,6.0,2.0,0.0,4.0,1.0,0.0,7.0,1.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0013/sample-00013-function,vuln-0013,function,bitvec,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0013/sample-10013-file,vuln-0013,file,bitvec,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0013/sample-10013-function,vuln-0013,function,bitvec,False,True,True,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0014/sample-00014-crate,vuln-0014,crate,redox_uefi_std,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0014/sample-00014-file,vuln-0014,file,redox_uefi_std,True,True,True,1.0,0.0,9.0,1.0,1.0,4.0,0.0,1.0,5.0,2.0,1.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0014/sample-00014-function,vuln-0014,function,redox_uefi_std,True,True,True,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0014/sample-10014-crate,vuln-0014,crate,redox_uefi_std,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0014/sample-10014-file,vuln-0014,file,redox_uefi_std,False,True,True,0.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0014/sample-10014-function,vuln-0014,function,redox_uefi_std,False,True,True,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0015/sample-00015-crate,vuln-0015,crate,arr,True,True,True,1.0,0.0,6.0,1.0,0.0,9.0,2.0,2.0,32.0,0.0,0.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0015/sample-00015-function,vuln-0015,function,arr,True,True,True,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0016/sample-00016-crate,vuln-0016,crate,arr,True,True,True,1.0,0.0,5.0,1.0,0.0,9.0,2.0,0.0,31.0,2.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0016/sample-00016-function,vuln-0016,function,arr,True,True,True,1.0,1.0,6.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0017/sample-00017-crate,vuln-0017,crate,arr,True,True,True,1.0,0.0,7.0,1.0,0.0,8.0,1.0,1.0,7.0,1.0,0.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0017/sample-00017-function,vuln-0017,function,arr,True,False,True,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0018/sample-00018-crate,vuln-0018,crate,sized-chunks,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0018/sample-00018-file,vuln-0018,file,sized-chunks,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0018/sample-00018-function,vuln-0018,function,sized-chunks,True,True,True,1.0,1.0,8.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0018/sample-10018-crate,vuln-0018,crate,sized-chunks,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0018/sample-10018-file,vuln-0018,file,sized-chunks,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0018/sample-10018-function,vuln-0018,function,sized-chunks,False,True,True,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0019/sample-00019-crate,vuln-0019,crate,sized-chunks,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0019/sample-00019-file,vuln-0019,file,sized-chunks,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0019/sample-00019-function,vuln-0019,function,sized-chunks,True,True,True,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0019/sample-10019-crate,vuln-0019,crate,sized-chunks,False,True,True,0.0,0.0,11.0,0.0,0.0,7.0,0.0,0.0,14.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0019/sample-10019-file,vuln-0019,file,sized-chunks,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0019/sample-10019-function,vuln-0019,function,sized-chunks,False,True,True,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0020/sample-00020-crate,vuln-0020,crate,sized-chunks,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0020/sample-00020-file,vuln-0020,file,sized-chunks,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0020/sample-00020-function,vuln-0020,function,sized-chunks,True,True,True,1.0,1.0,8.0,0.0,0.0,6.0,1.0,1.0,17.0,1.0,0.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0020/sample-10020-crate,vuln-0020,crate,sized-chunks,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0020/sample-10020-file,vuln-0020,file,sized-chunks,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0020/sample-10020-function,vuln-0020,function,sized-chunks,False,True,True,0.0,0.0,13.0,0.0,0.0,5.0,0.0,0.0,13.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0021/sample-00021-crate,vuln-0021,crate,sized-chunks,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0021/sample-00021-file,vuln-0021,file,sized-chunks,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0021/sample-00021-function,vuln-0021,function,sized-chunks,True,True,True,1.0,0.0,6.0,1.0,1.0,3.0,1.0,0.0,18.0,1.0,1.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0021/sample-10021-crate,vuln-0021,crate,sized-chunks,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0021/sample-10021-file,vuln-0021,file,sized-chunks,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0021/sample-10021-function,vuln-0021,function,sized-chunks,False,True,True,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0022/sample-00022-crate,vuln-0022,crate,sized-chunks,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0022/sample-00022-file,vuln-0022,file,sized-chunks,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0022/sample-00022-function,vuln-0022,function,sized-chunks,True,True,True,1.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,7.0,0.0,0.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0022/sample-10022-crate,vuln-0022,crate,sized-chunks,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0022/sample-10022-file,vuln-0022,file,sized-chunks,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0022/sample-10022-function,vuln-0022,function,sized-chunks,False,True,True,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0023/sample-00023-crate,vuln-0023,crate,sized-chunks,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0023/sample-00023-file,vuln-0023,file,sized-chunks,True,False,True,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0023/sample-00023-function,vuln-0023,function,sized-chunks,True,True,True,1.0,0.0,6.0,1.0,2.0,3.0,6.0,1.0,7.0,7.0,1.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0023/sample-10023-crate,vuln-0023,crate,sized-chunks,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0023/sample-10023-file,vuln-0023,file,sized-chunks,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0023/sample-10023-function,vuln-0023,function,sized-chunks,False,True,True,0.0,0.0,5.0,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0024/sample-00024-crate,vuln-0024,crate,simple-slab,True,True,True,1.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,4.0,1.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0024/sample-00024-function,vuln-0024,function,simple-slab,True,True,True,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0024/sample-10024-crate,vuln-0024,crate,simple-slab,False,True,True,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0024/sample-10024-function,vuln-0024,function,simple-slab,False,True,True,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0025/sample-00025-crate,vuln-0025,crate,simple-slab,True,True,True,1.0,0.0,11.0,3.0,1.0,4.0,0.0,2.0,18.0,0.0,1.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0025/sample-00025-function,vuln-0025,function,simple-slab,True,True,True,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0025/sample-10025-crate,vuln-0025,crate,simple-slab,False,True,True,0.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0025/sample-10025-function,vuln-0025,function,simple-slab,False,True,True,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0026/sample-00026-crate,vuln-0026,crate,vmm-sys-util,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0026/sample-00026-file,vuln-0026,file,vmm-sys-util,True,True,True,1.0,0.0,8.0,1.0,0.0,3.0,1.0,0.0,8.0,2.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0026/sample-10026-crate,vuln-0026,crate,vmm-sys-util,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0026/sample-10026-file,vuln-0026,file,vmm-sys-util,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0027/sample-00027-crate,vuln-0027,crate,claxon,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0027/sample-00027-file,vuln-0027,file,claxon,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0027/sample-10027-crate,vuln-0027,crate,claxon,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0027/sample-10027-file,vuln-0027,file,claxon,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0028/sample-00028-crate,vuln-0028,crate,once_cell,True,False,True,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0028/sample-00028-function,vuln-0028,function,once_cell,True,False,True,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0028/sample-10028-crate,vuln-0028,crate,once_cell,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0028/sample-10028-function,vuln-0028,function,once_cell,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0029/sample-00029-crate,vuln-0029,crate,pared,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0029/sample-00029-function,vuln-0029,function,pared,True,False,True,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0029/sample-10029-crate,vuln-0029,crate,pared,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0029/sample-10029-function,vuln-0029,function,pared,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0038/sample-00038-crate,vuln-0038,crate,scanner,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0038/sample-00038-function,vuln-0038,function,scanner,True,True,True,1.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0039/sample-00039-crate,vuln-0039,crate,smallvec,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0039/sample-00039-function,vuln-0039,function,smallvec,True,True,True,1.0,0.0,9.0,1.0,0.0,4.0,1.0,1.0,4.0,0.0,0.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0039/sample-10039-crate,vuln-0039,crate,smallvec,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0039/sample-10039-function,vuln-0039,function,smallvec,False,True,True,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,34.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0040/sample-00040-crate,vuln-0040,crate,mp3-metadata,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0040/sample-00040-function,vuln-0040,function,mp3-metadata,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0040/sample-10040-crate,vuln-0040,crate,mp3-metadata,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0040/sample-10040-function,vuln-0040,function,mp3-metadata,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0041/sample-00041-crate,vuln-0041,crate,xmas-elf,True,True,True,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0041/sample-00041-function,vuln-0041,function,xmas-elf,True,True,True,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0041/sample-10041-crate,vuln-0041,crate,xmas-elf,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0041/sample-10041-function,vuln-0041,function,xmas-elf,False,True,True,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0042/sample-00042-crate,vuln-0042,crate,fast-float,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0042/sample-00042-file,vuln-0042,file,fast-float,True,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0042/sample-00042-function,vuln-0042,function,fast-float,True,True,True,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,Qwen2.5-7B-128k-Instruct
vuln-0042/sample-10042-crate,vuln-0042,crate,fast-float,False,,False,,,,,,,,,,,,,Qwen2.5-7B-128k-Instruct
vuln-0042/sample-10042-file,vuln-0042,file,fast-float,False,True,True,0.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,56.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
vuln-0042/sample-10042-function,vuln-0042,function,fast-float,False,True,True,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,Qwen2.5-7B-128k-Instruct
