example_id,vuln_id,granularity,crate_name,year,is_vulnerable_gt,cwe_types_gt,is_valid_json,is_vulnerable_pred,cwe_types_pred,binary_accuracy,cwe_tp,cwe_fp,cwe_fn,function_tp,function_fp,function_fn,line_tp,line_fp,line_fn,success_at_1_function,success_at_1_line,model
vuln-0009/sample-00009-function,vuln-0009,function,alg_ds,2020.0,True,"[""CWE-908""]",True,True,"[""CWE-824"", ""CWE-908""]",1.0,1,1,0,1,0,1,0,2,2,1.0,0.0,GPT-4.1
vuln-0010/sample-00010-crate,vuln-0010,crate,im,2020.0,True,"[""CWE-362""]",True,False,[],0.0,0,0,1,0,0,2,0,0,2,0.0,0.0,GPT-4.1
vuln-0010/sample-00010-file,vuln-0010,file,im,2020.0,True,"[""CWE-362""]",False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0010/sample-00010-function,vuln-0010,function,im,2020.0,True,"[""CWE-362""]",True,False,[],0.0,0,0,1,0,0,2,0,0,2,0.0,0.0,GPT-4.1
vuln-0010/sample-10010-crate,vuln-0010,crate,im,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0010/sample-10010-file,vuln-0010,file,im,2020.0,False,[],False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0010/sample-10010-function,vuln-0010,function,im,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0011/sample-00011-crate,vuln-0011,crate,array-init-cursor,2025.0,True,"[""CWE-672""]",True,False,[],0.0,0,0,1,0,0,1,0,0,1,0.0,0.0,GPT-4.1
vuln-0011/sample-00011-function,vuln-0011,function,array-init-cursor,2025.0,True,"[""CWE-672""]",True,False,[],0.0,0,0,1,0,0,1,0,0,1,0.0,0.0,GPT-4.1
vuln-0011/sample-10011-crate,vuln-0011,crate,array-init-cursor,2025.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0011/sample-10011-function,vuln-0011,function,array-init-cursor,2025.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0012/sample-00012-crate,vuln-0012,crate,hashconsing,2020.0,True,"[""CWE-662"", ""CWE-787""]",True,False,[],0.0,0,0,2,0,0,2,0,0,2,0.0,0.0,GPT-4.1
vuln-0012/sample-00012-file,vuln-0012,file,hashconsing,2020.0,True,"[""CWE-662"", ""CWE-787""]",True,False,[],0.0,0,0,2,0,0,2,0,0,2,0.0,0.0,GPT-4.1
vuln-0012/sample-00012-function,vuln-0012,function,hashconsing,2020.0,True,"[""CWE-662"", ""CWE-787""]",True,False,[],0.0,0,0,2,0,0,2,0,0,2,0.0,0.0,GPT-4.1
vuln-0012/sample-10012-crate,vuln-0012,crate,hashconsing,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0012/sample-10012-file,vuln-0012,file,hashconsing,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0012/sample-10012-function,vuln-0012,function,hashconsing,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0013/sample-00013-crate,vuln-0013,crate,bitvec,2020.0,True,"[""CWE-415"", ""CWE-416""]",True,False,[],0.0,0,0,2,0,0,1,0,0,1,0.0,0.0,GPT-4.1
vuln-0013/sample-00013-file,vuln-0013,file,bitvec,2020.0,True,"[""CWE-415"", ""CWE-416""]",False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0013/sample-00013-function,vuln-0013,function,bitvec,2020.0,True,"[""CWE-415"", ""CWE-416""]",True,True,"[""CWE-787""]",1.0,0,1,2,0,1,1,0,1,1,0.0,0.0,GPT-4.1
vuln-0013/sample-10013-crate,vuln-0013,crate,bitvec,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0013/sample-10013-file,vuln-0013,file,bitvec,2020.0,False,[],False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0013/sample-10013-function,vuln-0013,function,bitvec,2020.0,False,[],True,True,"[""CWE-787""]",0.0,0,1,0,0,1,0,0,1,0,0.0,0.0,GPT-4.1
vuln-0014/sample-00014-crate,vuln-0014,crate,redox_uefi_std,2025.0,True,"[""CWE-122""]",True,True,"[""CWE-125"", ""CWE-824""]",1.0,0,2,1,1,0,0,1,0,2,1.0,1.0,GPT-4.1
vuln-0014/sample-00014-file,vuln-0014,file,redox_uefi_std,2025.0,True,"[""CWE-122""]",True,True,"[""CWE-125"", ""CWE-126""]",1.0,0,2,1,1,0,0,2,0,1,1.0,1.0,GPT-4.1
vuln-0014/sample-00014-function,vuln-0014,function,redox_uefi_std,2025.0,True,"[""CWE-122""]",True,True,"[""CWE-125"", ""CWE-126""]",1.0,0,2,1,1,0,0,1,0,2,1.0,1.0,GPT-4.1
vuln-0014/sample-10014-crate,vuln-0014,crate,redox_uefi_std,2025.0,False,[],True,True,"[""CWE-125"", ""CWE-119""]",0.0,0,2,0,0,1,0,0,1,0,0.0,0.0,GPT-4.1
vuln-0014/sample-10014-file,vuln-0014,file,redox_uefi_std,2025.0,False,[],True,True,"[""CWE-119"", ""CWE-125""]",0.0,0,2,0,0,1,0,0,1,0,0.0,0.0,GPT-4.1
vuln-0014/sample-10014-function,vuln-0014,function,redox_uefi_std,2025.0,False,[],True,True,"[""CWE-119"", ""CWE-125""]",0.0,0,2,0,0,1,0,0,1,0,0.0,0.0,GPT-4.1
vuln-0015/sample-00015-crate,vuln-0015,crate,arr,2020.0,True,"[""CWE-362""]",True,True,"[""CWE-119"", ""CWE-787"", ""CWE-125""]",1.0,0,3,1,0,2,2,0,2,2,0.0,0.0,GPT-4.1
vuln-0015/sample-00015-function,vuln-0015,function,arr,2020.0,True,"[""CWE-362""]",True,True,"[""CWE-662"", ""CWE-416""]",1.0,0,2,1,0,2,2,2,0,0,0.0,1.0,GPT-4.1
vuln-0016/sample-00016-crate,vuln-0016,crate,arr,2020.0,True,"[""CWE-120""]",True,True,"[""CWE-119"", ""CWE-125"", ""CWE-787""]",1.0,0,3,1,0,2,2,2,0,0,0.0,1.0,GPT-4.1
vuln-0016/sample-00016-function,vuln-0016,function,arr,2020.0,True,"[""CWE-120""]",True,True,"[""CWE-119"", ""CWE-787""]",1.0,0,2,1,0,2,2,2,0,0,0.0,1.0,GPT-4.1
vuln-0017/sample-00017-crate,vuln-0017,crate,arr,2020.0,True,"[""CWE-908""]",True,True,"[""CWE-119"", ""CWE-787"", ""CWE-125""]",1.0,0,3,1,0,2,1,0,6,2,0.0,0.0,GPT-4.1
vuln-0017/sample-00017-function,vuln-0017,function,arr,2020.0,True,"[""CWE-908""]",True,True,"[""CWE-824"", ""CWE-908"", ""CWE-131"", ""CWE-190""]",1.0,1,3,0,1,0,0,2,0,0,1.0,1.0,GPT-4.1
vuln-0018/sample-00018-crate,vuln-0018,crate,sized-chunks,2020.0,True,"[""CWE-129""]",False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0018/sample-00018-file,vuln-0018,file,sized-chunks,2020.0,True,"[""CWE-129""]",False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0018/sample-00018-function,vuln-0018,function,sized-chunks,2020.0,True,"[""CWE-129""]",True,True,"[""CWE-119"", ""CWE-787"", ""CWE-125""]",1.0,0,3,1,0,2,1,0,2,2,0.0,0.0,GPT-4.1
vuln-0018/sample-10018-crate,vuln-0018,crate,sized-chunks,2020.0,False,[],False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0018/sample-10018-file,vuln-0018,file,sized-chunks,2020.0,False,[],False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0018/sample-10018-function,vuln-0018,function,sized-chunks,2020.0,False,[],True,True,"[""CWE-119"", ""CWE-787""]",0.0,0,2,0,0,2,0,0,2,0,0.0,0.0,GPT-4.1
vuln-0019/sample-00019-crate,vuln-0019,crate,sized-chunks,2020.0,True,"[""CWE-129""]",False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0019/sample-00019-file,vuln-0019,file,sized-chunks,2020.0,True,"[""CWE-129""]",False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0019/sample-00019-function,vuln-0019,function,sized-chunks,2020.0,True,"[""CWE-129""]",True,True,"[""CWE-119"", ""CWE-787""]",1.0,0,2,1,1,2,0,0,3,3,1.0,0.0,GPT-4.1
vuln-0019/sample-10019-crate,vuln-0019,crate,sized-chunks,2020.0,False,[],False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0019/sample-10019-file,vuln-0019,file,sized-chunks,2020.0,False,[],False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0019/sample-10019-function,vuln-0019,function,sized-chunks,2020.0,False,[],True,True,"[""CWE-119"", ""CWE-787""]",0.0,0,2,0,0,2,0,0,2,0,0.0,0.0,GPT-4.1
vuln-0020/sample-00020-crate,vuln-0020,crate,sized-chunks,2020.0,True,"[""CWE-129""]",False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0020/sample-00020-file,vuln-0020,file,sized-chunks,2020.0,True,"[""CWE-129""]",False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0020/sample-00020-function,vuln-0020,function,sized-chunks,2020.0,True,"[""CWE-129""]",True,False,[],0.0,0,0,1,0,0,1,0,0,2,0.0,0.0,GPT-4.1
vuln-0020/sample-10020-crate,vuln-0020,crate,sized-chunks,2020.0,False,[],False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0020/sample-10020-file,vuln-0020,file,sized-chunks,2020.0,False,[],False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0020/sample-10020-function,vuln-0020,function,sized-chunks,2020.0,False,[],True,True,"[""CWE-119"", ""CWE-125"", ""CWE-193""]",0.0,0,3,0,0,1,0,0,1,0,0.0,0.0,GPT-4.1
vuln-0021/sample-00021-crate,vuln-0021,crate,sized-chunks,2020.0,True,"[""CWE-401""]",False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0021/sample-00021-file,vuln-0021,file,sized-chunks,2020.0,True,"[""CWE-401""]",True,True,"[""CWE-119"", ""CWE-416""]",1.0,0,2,1,0,2,2,0,2,1,0.0,0.0,GPT-4.1
vuln-0021/sample-00021-function,vuln-0021,function,sized-chunks,2020.0,True,"[""CWE-401""]",True,True,"[""CWE-908"", ""CWE-824""]",1.0,0,2,1,1,0,1,1,1,0,1.0,1.0,GPT-4.1
vuln-0021/sample-10021-crate,vuln-0021,crate,sized-chunks,2020.0,False,[],False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0021/sample-10021-file,vuln-0021,file,sized-chunks,2020.0,False,[],True,True,"[""CWE-662"", ""CWE-416""]",0.0,0,2,0,0,1,0,0,4,0,0.0,0.0,GPT-4.1
vuln-0021/sample-10021-function,vuln-0021,function,sized-chunks,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0022/sample-00022-crate,vuln-0022,crate,sized-chunks,2020.0,True,"[""CWE-401""]",False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0022/sample-00022-file,vuln-0022,file,sized-chunks,2020.0,True,"[""CWE-401""]",True,False,[],0.0,0,0,1,0,0,1,0,0,1,0.0,0.0,GPT-4.1
vuln-0022/sample-00022-function,vuln-0022,function,sized-chunks,2020.0,True,"[""CWE-401""]",True,False,[],0.0,0,0,1,0,0,1,0,0,1,0.0,0.0,GPT-4.1
vuln-0022/sample-10022-crate,vuln-0022,crate,sized-chunks,2020.0,False,[],False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0022/sample-10022-file,vuln-0022,file,sized-chunks,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0022/sample-10022-function,vuln-0022,function,sized-chunks,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0023/sample-00023-crate,vuln-0023,crate,sized-chunks,2020.0,True,"[""CWE-129""]",False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0023/sample-00023-file,vuln-0023,file,sized-chunks,2020.0,True,"[""CWE-129""]",True,False,[],0.0,0,0,1,0,0,8,0,0,8,0.0,0.0,GPT-4.1
vuln-0023/sample-00023-function,vuln-0023,function,sized-chunks,2020.0,True,"[""CWE-129""]",True,False,[],0.0,0,0,1,0,0,8,0,0,8,0.0,0.0,GPT-4.1
vuln-0023/sample-10023-crate,vuln-0023,crate,sized-chunks,2020.0,False,[],False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0023/sample-10023-file,vuln-0023,file,sized-chunks,2020.0,False,[],True,True,"[""CWE-119"", ""CWE-125""]",0.0,0,2,0,0,1,0,0,2,0,0.0,0.0,GPT-4.1
vuln-0023/sample-10023-function,vuln-0023,function,sized-chunks,2020.0,False,[],True,True,"[""CWE-125"", ""CWE-119""]",0.0,0,2,0,0,1,0,0,1,0,0.0,0.0,GPT-4.1
vuln-0024/sample-00024-crate,vuln-0024,crate,simple-slab,2020.0,True,"[""CWE-125""]",True,True,"[""CWE-125"", ""CWE-119""]",1.0,1,1,0,1,1,0,1,1,0,1.0,1.0,GPT-4.1
vuln-0024/sample-00024-function,vuln-0024,function,simple-slab,2020.0,True,"[""CWE-125""]",True,True,"[""CWE-119""]",1.0,0,1,1,1,0,0,1,0,0,1.0,1.0,GPT-4.1
vuln-0024/sample-10024-crate,vuln-0024,crate,simple-slab,2020.0,False,[],True,True,"[""CWE-119"", ""CWE-843""]",0.0,0,2,0,0,2,0,0,1,0,0.0,0.0,GPT-4.1
vuln-0024/sample-10024-function,vuln-0024,function,simple-slab,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0025/sample-00025-crate,vuln-0025,crate,simple-slab,2020.0,True,"[""CWE-193"", ""CWE-908"", ""CWE-401""]",True,True,"[""CWE-125"", ""CWE-119"", ""CWE-843""]",1.0,0,3,3,1,2,0,1,2,1,1.0,1.0,GPT-4.1
vuln-0025/sample-00025-function,vuln-0025,function,simple-slab,2020.0,True,"[""CWE-193"", ""CWE-908"", ""CWE-401""]",True,True,"[""CWE-125"", ""CWE-119""]",1.0,0,2,3,1,0,0,2,0,0,1.0,1.0,GPT-4.1
vuln-0025/sample-10025-crate,vuln-0025,crate,simple-slab,2020.0,False,[],True,True,"[""CWE-843"", ""CWE-824"", ""CWE-119""]",0.0,0,3,0,0,1,0,0,1,0,0.0,0.0,GPT-4.1
vuln-0025/sample-10025-function,vuln-0025,function,simple-slab,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0026/sample-00026-crate,vuln-0026,crate,vmm-sys-util,2023.0,True,"[""CWE-787""]",False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0026/sample-00026-file,vuln-0026,file,vmm-sys-util,2023.0,True,"[""CWE-787""]",True,False,[],0.0,0,0,1,0,0,1,0,0,2,0.0,0.0,GPT-4.1
vuln-0026/sample-10026-crate,vuln-0026,crate,vmm-sys-util,2023.0,False,[],False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0026/sample-10026-file,vuln-0026,file,vmm-sys-util,2023.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0027/sample-00027-crate,vuln-0027,crate,claxon,2018.0,True,"[""CWE-908""]",False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0027/sample-00027-file,vuln-0027,file,claxon,2018.0,True,"[""CWE-908""]",True,True,"[""CWE-908""]",1.0,1,0,0,1,0,2,1,0,2,1.0,1.0,GPT-4.1
vuln-0027/sample-10027-crate,vuln-0027,crate,claxon,2018.0,False,[],False,,,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0027/sample-10027-file,vuln-0027,file,claxon,2018.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0028/sample-00028-crate,vuln-0028,crate,once_cell,2019.0,True,"[""CWE-20""]",True,False,[],0.0,0,0,1,0,0,1,0,0,2,0.0,0.0,GPT-4.1
vuln-0028/sample-00028-function,vuln-0028,function,once_cell,2019.0,True,"[""CWE-20""]",True,False,[],0.0,0,0,1,0,0,1,0,0,2,0.0,0.0,GPT-4.1
vuln-0028/sample-10028-crate,vuln-0028,crate,once_cell,2019.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0028/sample-10028-function,vuln-0028,function,once_cell,2019.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0029/sample-00029-crate,vuln-0029,crate,pared,2025.0,True,"[""CWE-416""]",True,False,[],0.0,0,0,1,0,0,6,0,0,6,0.0,0.0,GPT-4.1
vuln-0029/sample-00029-function,vuln-0029,function,pared,2025.0,True,"[""CWE-416""]",True,False,[],0.0,0,0,1,0,0,6,0,0,6,0.0,0.0,GPT-4.1
vuln-0029/sample-10029-crate,vuln-0029,crate,pared,2025.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0029/sample-10029-function,vuln-0029,function,pared,2025.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0030/sample-00030-crate,vuln-0030,crate,rusqlite,2020.0,True,"[""CWE-362""]",True,False,[],0.0,0,0,1,0,0,2,0,0,2,0.0,0.0,GPT-4.1
vuln-0030/sample-10030-crate,vuln-0030,crate,rusqlite,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0031/sample-00031-crate,vuln-0031,crate,rusqlite,2020.0,True,"[""CWE-362""]",True,False,[],0.0,0,0,1,0,0,2,0,0,4,0.0,0.0,GPT-4.1
vuln-0031/sample-10031-crate,vuln-0031,crate,rusqlite,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
vuln-0032/sample-00032-crate,vuln-0032,crate,rusqlite,2020.0,True,"[""CWE-362""]",True,False,[],0.0,0,0,1,0,0,2,0,0,3,0.0,0.0,GPT-4.1
vuln-0032/sample-10032-crate,vuln-0032,crate,rusqlite,2020.0,False,[],True,False,[],1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GPT-4.1
