example_id,token_count
vuln-0018/sample-10018-crate,44504
vuln-0018/sample-10018-file,36965
vuln-0018/sample-10018-function,2172
vuln-0019/sample-00019-crate,41664
vuln-0019/sample-00019-file,33625
vuln-0019/sample-00019-function,2125
vuln-0019/sample-10019-crate,44504
vuln-0019/sample-10019-file,36965
vuln-0019/sample-10019-function,2185
vuln-0020/sample-00020-crate,41673
vuln-0020/sample-00020-file,33634
vuln-0020/sample-00020-function,6564
vuln-0020/sample-10020-crate,44504
vuln-0020/sample-10020-file,36965
vuln-0020/sample-10020-function,6660
vuln-0021/sample-00021-crate,41670
vuln-0021/sample-00021-file,19016
vuln-0021/sample-00021-function,4058
vuln-0021/sample-10021-crate,44504
vuln-0021/sample-10021-file,19353
vuln-0021/sample-10021-function,4141
vuln-0022/sample-00022-crate,41573
vuln-0022/sample-00022-file,18918
vuln-0022/sample-00022-function,4720
vuln-0022/sample-10022-crate,44504
vuln-0022/sample-10022-file,19353
vuln-0022/sample-10022-function,4992
vuln-0023/sample-00023-crate,41616
vuln-0023/sample-00023-file,7178
vuln-0023/sample-00023-function,3766
vuln-0023/sample-10023-crate,44504
vuln-0023/sample-10023-file,8110
vuln-0023/sample-10023-function,4576
vuln-0024/sample-00024-crate,2932
vuln-0024/sample-00024-function,1593
vuln-0024/sample-10024-crate,2964
vuln-0024/sample-10024-function,1622
vuln-0025/sample-00025-crate,2897
vuln-0025/sample-00025-function,1700
vuln-0025/sample-10025-crate,2964
vuln-0025/sample-10025-function,1752
vuln-0026/sample-00026-crate,55958
vuln-0026/sample-00026-file,9028
vuln-0026/sample-10026-crate,56397
vuln-0026/sample-10026-file,9465
vuln-0027/sample-00027-crate,33705
vuln-0027/sample-00027-file,20696
vuln-0027/sample-10027-crate,34108
vuln-0027/sample-10027-file,21098
vuln-0028/sample-00028-crate,11068
vuln-0028/sample-00028-function,8110
vuln-0028/sample-10028-crate,11120
vuln-0028/sample-10028-function,8120
vuln-0029/sample-00029-crate,18564
vuln-0029/sample-00029-function,11637
vuln-0029/sample-10029-crate,19605
vuln-0029/sample-10029-function,12678
vuln-0030/sample-00030-crate,96644
vuln-0030/sample-10030-crate,101145
vuln-0031/sample-00031-crate,96708
vuln-0031/sample-10031-crate,101145
vuln-0032/sample-00032-crate,96674
vuln-0032/sample-10032-crate,101145
vuln-0033/sample-00033-crate,96688
vuln-0033/sample-10033-crate,101145
vuln-0034/sample-00034-crate,97200
vuln-0034/sample-10034-crate,101145
vuln-0035/sample-00035-crate,97200
vuln-0035/sample-10035-crate,101145
vuln-0036/sample-00036-crate,96652
vuln-0036/sample-10036-crate,97273
vuln-0037/sample-00037-crate,96640
vuln-0037/sample-10037-crate,101145
vuln-0038/sample-00038-crate,7562
vuln-0038/sample-00038-function,1716
vuln-0039/sample-00039-crate,18946
vuln-0039/sample-00039-function,3720
vuln-0039/sample-10039-crate,19384
vuln-0039/sample-10039-function,3832
vuln-0040/sample-00040-crate,12934
vuln-0040/sample-00040-function,10876
vuln-0040/sample-10040-crate,13361
vuln-0040/sample-10040-function,10966
vuln-0041/sample-00041-crate,15841
vuln-0041/sample-00041-function,1680
vuln-0041/sample-10041-crate,16000
vuln-0041/sample-10041-function,1773
vuln-0042/sample-00042-crate,16890
vuln-0042/sample-00042-file,3725
vuln-0042/sample-00042-function,1592
vuln-0042/sample-10042-crate,17784
vuln-0042/sample-10042-file,4222
vuln-0042/sample-10042-function,2216
