example_id,token_count
vuln-0040/sample-00040-crate,9037
vuln-0040/sample-00040-function,7425
vuln-0040/sample-10040-crate,9245
vuln-0040/sample-10040-function,7322
vuln-0041/sample-00041-crate,12506
vuln-0041/sample-00041-function,1881
vuln-0041/sample-10041-crate,12384
vuln-0041/sample-10041-function,1709
vuln-0042/sample-00042-crate,13650
vuln-0042/sample-00042-file,2893
vuln-0042/sample-00042-function,1657
vuln-0042/sample-10042-crate,13820
vuln-0042/sample-10042-file,2992
vuln-0042/sample-10042-function,1800
