example_id,token_count
vuln-0033/sample-00033-crate,80500
vuln-0033/sample-10033-crate,84053
vuln-0034/sample-00034-crate,80885
vuln-0034/sample-10034-crate,84053
vuln-0035/sample-00035-crate,80885
vuln-0035/sample-10035-crate,84053
vuln-0036/sample-00036-crate,80500
vuln-0036/sample-10036-crate,80904
vuln-0037/sample-00037-crate,80500
vuln-0037/sample-10037-crate,84053
vuln-0038/sample-00038-crate,6594
vuln-0038/sample-00038-function,1697
vuln-0039/sample-00039-crate,14869
vuln-0039/sample-00039-function,3416
vuln-0039/sample-10039-crate,15085
vuln-0039/sample-10039-function,3441
vuln-0040/sample-00040-crate,12130
vuln-0040/sample-00040-function,10404
vuln-0040/sample-10040-crate,12462
vuln-0040/sample-10040-function,10413
vuln-0041/sample-00041-crate,13185
vuln-0041/sample-00041-function,1673
vuln-0041/sample-10041-crate,13285
vuln-0041/sample-10041-function,1713
vuln-0042/sample-00042-crate,14246
vuln-0042/sample-00042-file,3193
vuln-0042/sample-00042-function,1577
vuln-0042/sample-10042-crate,15033
vuln-0042/sample-10042-file,3637
vuln-0042/sample-10042-function,2178
